delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,expected_time_hours_recon,speed_kmph_recon,weather_mult_recon,delivery_time_hours_recon,partner_mult_recon,delay_hours_recon,delayed_flag_recon,order_date_recon,order_ts_recon,delivery_ts_recon,expected_ts_recon,hour
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,no,delivered,5,1322.21,52.8,30,1,9.332488798,1.00190617,-43.4675112,0,21-10-2024,21-10-2024 13.00,2024-10-21 22:19:56.959673890,23-10-2024 17.48,13
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,yes,delayed,2,595.53,8,35,1.1,4.129934523,1.00190617,-3.870065477,0,02-01-2024,02-01-2024 12.00,2024-01-02 16:07:47.764281093,02-01-2024 20.00,12
250.99,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,yes,delayed,2,1608.49,26.4,45,1,7.427397613,1.00190617,-18.97260239,0,31-05-2024,31-05-2024 11.00,2024-05-31 18:25:38.631406710,01-06-2024 13.24,11
250.99,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,no,delivered,3,469.01,48,30,1.1,3.997011154,1.00190617,-44.00298885,0,03-01-2024,03-01-2024 17.00,2024-01-03 20:59:49.240153885,05-01-2024 17.00,17
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,no,delivered,4,1045.27,52.8,40,1.2,6.933351001,1.00190617,-45.866649,0,19-03-2024,19-03-2024 13.00,2024-03-19 19:56:00.063604276,21-03-2024 17.48,13
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3,1574.01,52.8,40,1,8.619799543,1.00190617,-44.18020046,0,21-03-2024,21-03-2024 12.00,2024-03-21 20:37:11.278353828,23-03-2024 16.48,12
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289,48.99,no,delivered,4,1591.97,52.8,50,1.05,7.637320333,1.00190617,-45.16267967,0,01-06-2024,01-06-2024 10.00,2024-06-01 17:38:14.353200218,03-06-2024 14.48,10
250.99,amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,yes,delayed,2,805.61,24,50,1.15,4.09880816,1.00190617,-19.90119184,0,17-03-2024,17-03-2024 14.00,2024-03-17 18:05:55.709377490,18-03-2024 14.00,14
250.99,amazon logistics,documents,van,same day,north,rainy,90,33.7,no,delivered,3,651.1,24,45,1.2,3.81606022,1.00190617,-20.18393978,0,27-05-2024,27-05-2024 15.00,2024-05-27 18:48:57.816792669,28-05-2024 15.00,15
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,yes,delayed,3,391.45,8,30,1.2,3.337950596,1.00190617,-4.662049404,0,16-10-2024,16-10-2024 12.00,2024-10-16 15:20:16.622145153,16-10-2024 20.00,12
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,no,delivered,5,738.52,24,45,1,3.520163931,1.00190617,-20.47983607,0,03-01-2024,03-01-2024 15.00,2024-01-03 18:31:12.590152755,04-01-2024 15.00,15
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18,no,delivered,5,1321,26.4,40,1.1,7.378537989,1.00190617,-19.02146201,0,07-01-2024,07-01-2024 10.00,2024-01-07 17:22:42.736759510,08-01-2024 12.24,10
250.99,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,no,delivered,5,1399.6,52.8,40,1,7.656065998,1.00190617,-45.143934,0,07-01-2024,07-01-2024 15.00,2024-01-07 22:39:21.837592206,09-01-2024 19.48,15
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,no,delivered,3,320.87,48,50,1.1,2.034250249,1.00190617,-45.96574975,0,06-08-2024,06-08-2024 14.00,2024-08-06 16:02:03.300897789,08-08-2024 14.00,14
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,no,delivered,3,799.09,24,50,1.1,3.809507754,1.00190617,-20.19049225,0,18-10-2024,18-10-2024 9.00,2024-10-18 12:48:34.227913802,19-10-2024 9.00,9
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,no,delivered,4,551.44,48,40,1.05,3.610574274,1.00190617,-44.38942573,0,03-01-2024,03-01-2024 11.00,2024-01-03 14:36:38.067387321,05-01-2024 11.00,11
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125,39.41,no,delivered,5,743.23,48,30,1.05,5.738527798,1.00190617,-42.2614722,0,04-01-2024,04-01-2024 18.00,2024-01-04 23:44:18.700073476,06-01-2024 18.00,18
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,no,delivered,5,1091.51,52.8,45,1.15,6.209111994,1.00190617,-46.59088801,0,19-03-2024,19-03-2024 12.00,2024-03-19 18:12:32.803178158,21-03-2024 16.48,12
250.99,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,no,delivered,4,346.65,48,50,1.1,2.472003093,1.00190617,-45.52799691,0,25-05-2024,25-05-2024 12.00,2024-05-25 14:28:19.211135412,27-05-2024 12.00,12
