delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,expected_time_hours_recon,speed_kmph_recon,weather_mult_recon,delivery_time_hours_recon,partner_mult_recon,delay_hours_recon,delayed_flag_recon,order_date_recon,order_ts_recon,delivery_ts_recon,expected_ts_recon,hour,order_hour,order_day,is_weekend,order_date,expected_date,transit_holidays,holiday_count_transit,holiday_names_transit,weekend_count_transit,holiday_or_weekend_transit_flag,holiday_proximity_feature,api_temperature,api_humidity,api_wind_speed,precipitation,bad_weather_flag_api,temperature,humidity,wind_speed
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,244.71900555731673,47.540696918069756,no,delivered,5,1351.39291236969,52.18759573160212,29.686508287753956,1.0,9.332488798,1.00190617,-43.4675112,0,21-10-2024,2024-10-21 13:00:00,2024-10-21 22:19:56.959673890,2024-10-23 17:48:00,13,13,0,0,2024-10-21,2024-10-23,[],0,,0,0,1,33.12232741145725,75.75220198843148,17.61925189217748,3.506764803106657,0,32.483570765056164,74.09784899068792,17.056316759566354
250.99,amazon logistics,clothing,bike,express,central,clear,85.02512349934466,46.14322040040872,yes,delayed,2,624.080018748138,8.88543953993886,34.36412742855536,1.1,4.129934523,1.00190617,-3.870065477,0,02-01-2024,2024-01-02 12:00:00,2024-01-02 16:07:47.764281093,2024-01-02 20:00:00,12,12,1,0,2024-01-02,2024-01-02,[],0,,0,0,1,29.729640390928488,95.6024092314348,15.867221341998507,2.943647648201388,0,29.308678494144075,94.77829471295412,15.48603953637446
250.99,amazon logistics,clothing,van,same day,north,clear,293.1262335231127,31.971947684400586,yes,delayed,2,1587.0784979022926,23.657615681719818,45.183075354244565,1.0,7.427397613,1.00190617,-18.97260239,0,31-05-2024,2024-05-31 11:00:00,2024-05-31 18:25:38.631406710,2024-06-01 13:24:00,11,11,4,0,2024-05-31,2024-06-01,[],0,,1,1,8,33.54524166654266,54.69346515929961,11.853310372911421,1.8927651355181812,0,33.23844269050346,56.39589471614246,13.558508305271928
250.99,amazon logistics,cosmetics,ev bike,two day,central,stormy,107.90311618122342,8.234676090496794,no,delivered,3,508.89243082200886,49.78299772669031,30.843065584141645,1.1,3.997011154,1.00190617,-44.00298885,0,03-01-2024,2024-01-03 17:00:00,2024-01-03 20:59:49.240153885,2024-01-05 17:00:00,17,17,2,0,2024-01-03,2024-01-05,[],0,,0,0,2,37.927240213421555,91.7733391833486,8.088706841564067,2.332061532941597,1,37.61514928204013,88.80018892685143,7.938182437571662
250.99,amazon logistics,cosmetics,ev van,two day,east,foggy,211.12354776457582,7.186862743660517,no,delivered,4,1073.8719255445435,49.89597244555866,39.55083589004331,1.2,6.933351001,1.00190617,-45.866649,0,19-03-2024,2024-03-19 13:00:00,2024-03-19 19:56:00.063604276,2024-03-21 17:48:00,13,13,1,0,2024-03-19,2024-03-21,['March Equinox'],1,March Equinox,0,1,1,29.547110642513477,72.69597635160191,4.071856067747815,1.6451590897875332,1,28.82923312638332,72.37413512028344,2.726783345729109
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,280.72009310575703,47.05768103454502,no,delivered,3,1618.5961493920545,53.32031806310875,40.478485565267775,1.0,8.619799543,1.00190617,-44.18020046,0,21-03-2024,2024-03-21 12:00:00,2024-03-21 20:37:11.278353828,2024-03-23 16:48:00,12,12,3,0,2024-03-21,2024-03-23,[],0,,1,1,1,28.869197923884133,47.95963673464447,6.190300401032501,0.8782422540464807,0,28.8293152152541,51.02213500623507,5.77550550066444
250.99,amazon logistics,cosmetics,truck,two day,north,clear,294.335205188103,49.128538597104395,no,delivered,4,1605.7960785613427,53.773923471596156,49.43710931693612,1.05,7.637320333,1.00190617,-45.16267967,0,01-06-2024,2024-06-01 10:00:00,2024-06-01 17:38:14.353200218,2024-06-03 14:48:00,10,10,5,1,2024-06-01,2024-06-03,[],0,,2,1,9,38.8832298505845,94.81661464260472,6.032316281512474,0.6719319688060216,0,37.89606407753696,93.75003236477068,6.941542767028686
250.99,amazon logistics,documents,truck,same day,east,clear,132.26480654628656,27.641192206465032,yes,delayed,2,782.4656974827659,19.814374995062188,49.2514021546039,1.15,4.09880816,1.00190617,-19.90119184,0,17-03-2024,2024-03-17 14:00:00,2024-03-17 18:05:55.709377490,2024-03-18 14:00:00,14,14,6,1,2024-03-17,2024-03-18,[],0,,1,1,3,34.479058063805404,91.93138548880728,8.765495279742595,0.3870346845227703,0,33.837173645764544,93.4271554884511,7.161529347295829
250.99,amazon logistics,documents,van,same day,north,stormy,80.90421845056483,31.7990930360971,no,delivered,3,684.0716730437887,25.63484886969731,45.846020966670714,1.2,3.81606022,1.00190617,-20.18393978,0,27-05-2024,2024-05-27 15:00:00,2024-05-27 18:48:57.816792669,2024-05-28 15:00:00,15,15,0,0,2024-05-27,2024-05-28,[],0,,0,0,4,28.322642716429904,67.84955369606526,10.74767233726531,0.873917686158518,1,27.65262807032524,67.24718780822992,11.309792302546438
250.99,amazon logistics,documents,ev bike,express,west,clear,57.16927281146762,34.10990712628538,yes,delayed,3,410.2681750151424,12.40146621981884,30.55374136165259,1.2,3.337950596,1.00190617,-4.662049404,0,16-10-2024,2024-10-16 12:00:00,2024-10-16 15:20:16.622145153,2024-10-16 20:00:00,12,12,2,0,2024-10-16,2024-10-16,[],0,,0,0,1,32.35377336681505,90.51833520976592,3.5657027340619107,1.7202758872019617,0,32.712800217929825,92.93639319886572,4.167656162915446
