delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,expected_time_hours_recon,speed_kmph_recon,weather_mult_recon,delivery_time_hours_recon,partner_mult_recon,delay_hours_recon,delayed_flag_recon,order_date_recon,order_ts_recon,delivery_ts_recon,expected_ts_recon,hour,order_hour,order_day,is_weekend,order_date,expected_date,transit_holidays,holiday_count_transit,holiday_names_transit,weekend_count_transit,holiday_or_weekend_transit_flag,holiday_proximity_feature,api_temperature,api_humidity,api_wind_speed,precipitation,bad_weather_flag_api,temperature,humidity,wind_speed
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,no,delivered,5,1322.21,52.8,30,1.0,9.332488798,1.00190617,-43.4675112,0,21-10-2024,2024-10-21 13:00:00,2024-10-21 22:19:56.959673890,2024-10-23 17:48:00,13,13,0,0,2024-10-21,2024-10-23,[],0,,0,0,1,32.483570765056164,74.09784899068792,17.056316759566354,3.506764803106657,0,32.483570765056164,74.09784899068792,17.056316759566354
250.99,amazon logistics,clothing,bike,express,central,clear,81.8,45.51,yes,delayed,2,595.53,8.0,35,1.1,4.129934523,1.00190617,-3.870065477,0,02-01-2024,2024-01-02 12:00:00,2024-01-02 16:07:47.764281093,2024-01-02 20:00:00,12,12,1,0,2024-01-02,2024-01-02,[],0,,0,0,1,29.308678494144075,94.77829471295412,15.486039536374461,2.9436476482013876,0,29.308678494144075,94.77829471295412,15.486039536374461
250.99,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,yes,delayed,2,1608.49,26.4,45,1.0,7.427397613,1.00190617,-18.97260239,0,31-05-2024,2024-05-31 11:00:00,2024-05-31 18:25:38.631406710,2024-06-01 13:24:00,11,11,4,0,2024-05-31,2024-06-01,[],0,,1,1,8,33.23844269050346,56.39589471614246,13.558508305271928,1.8927651355181814,0,33.23844269050346,56.39589471614246,13.558508305271928
250.99,amazon logistics,cosmetics,ev bike,two day,central,stormy,88.6,8.67,no,delivered,3,469.01,48.0,30,1.1,3.997011154,1.00190617,-44.00298885,0,03-01-2024,2024-01-03 17:00:00,2024-01-03 20:59:49.240153885,2024-01-05 17:00:00,17,17,2,0,2024-01-03,2024-01-05,[],0,,0,0,2,37.61514928204013,88.80018892685143,7.938182437571662,2.332061532941597,1,37.61514928204013,88.80018892685143,7.938182437571662
250.99,amazon logistics,cosmetics,ev van,two day,east,foggy,204.2,8.09,no,delivered,4,1045.27,52.8,40,1.2,6.933351001,1.00190617,-45.866649,0,19-03-2024,2024-03-19 13:00:00,2024-03-19 19:56:00.063604276,2024-03-21 17:48:00,13,13,1,0,2024-03-19,2024-03-21,['March Equinox'],1,March Equinox,0,1,1,28.829233126383322,72.37413512028344,2.726783345729109,1.6451590897875332,1,28.829233126383322,72.37413512028344,2.726783345729109
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3,1574.01,52.8,40,1.0,8.619799543,1.00190617,-44.18020046,0,21-03-2024,2024-03-21 12:00:00,2024-03-21 20:37:11.278353828,2024-03-23 16:48:00,12,12,3,0,2024-03-21,2024-03-23,[],0,,1,1,1,28.8293152152541,51.02213500623507,5.77550550066444,0.8782422540464807,0,28.8293152152541,51.02213500623507,5.77550550066444
250.99,amazon logistics,cosmetics,truck,two day,north,clear,289.0,48.99,no,delivered,4,1591.97,52.8,50,1.05,7.637320333,1.00190617,-45.16267967,0,01-06-2024,2024-06-01 10:00:00,2024-06-01 17:38:14.353200218,2024-06-03 14:48:00,10,10,5,1,2024-06-01,2024-06-03,[],0,,2,1,9,37.896064077536955,93.75003236477068,6.941542767028686,0.6719319688060216,0,37.896064077536955,93.75003236477068,6.941542767028686
250.99,amazon logistics,documents,truck,same day,east,clear,123.5,29.37,yes,delayed,2,805.61,24.0,50,1.15,4.09880816,1.00190617,-19.90119184,0,17-03-2024,2024-03-17 14:00:00,2024-03-17 18:05:55.709377490,2024-03-18 14:00:00,14,14,6,1,2024-03-17,2024-03-18,[],0,,1,1,3,33.837173645764544,93.4271554884511,7.161529347295829,0.3870346845227703,0,33.837173645764544,93.4271554884511,7.161529347295829
250.99,amazon logistics,documents,van,same day,north,stormy,90.0,33.7,no,delivered,3,651.1,24.0,45,1.2,3.81606022,1.00190617,-20.18393978,0,27-05-2024,2024-05-27 15:00:00,2024-05-27 18:48:57.816792669,2024-05-28 15:00:00,15,15,0,0,2024-05-27,2024-05-28,[],0,,0,0,4,27.65262807032524,67.24718780822992,11.309792302546438,0.873917686158518,1,27.65262807032524,67.24718780822992,11.309792302546438
250.99,amazon logistics,documents,ev bike,express,west,clear,48.4,33.15,yes,delayed,3,391.45,8.0,30,1.2,3.337950596,1.00190617,-4.662049404,0,16-10-2024,2024-10-16 12:00:00,2024-10-16 15:20:16.622145153,2024-10-16 20:00:00,12,12,2,0,2024-10-16,2024-10-16,[],0,,0,0,1,32.712800217929825,92.93639319886572,4.167656162915446,1.7202758872019615,0,32.712800217929825,92.93639319886572,4.167656162915446
